experiment_id,u,seed,variant,logical_task_id,task_id,resource,common_multiplier,residual_multiplier,applied_multiplier
EXP-06B,0.05,0,3,1,1,agent,1.033777288919,1.000000000000,1.033777288919
EXP-06B,0.05,0,4,1,1,agent,1.033777288919,1.000000000000,1.033777288919
EXP-06B,0.05,0,3,1,1,human,1.024869619167,1.000000000000,1.024869619167
EXP-06B,0.05,0,4,1,1,human,1.024869619167,1.000000000000,1.024869619167
EXP-06B,0.05,0,3,2,2,agent,0.990841163997,1.000000000000,0.990841163997
EXP-06B,0.05,0,4,2,2,agent,0.990841163997,1.000000000000,0.990841163997
EXP-06B,0.05,0,3,2,2,human,0.974939354394,1.000000000000,0.974939354394
EXP-06B,0.05,0,4,2,2,human,0.974939354394,1.000000000000,0.974939354394
EXP-06B,0.05,0,3,3,3,agent,0.999876855583,1.000000000000,0.999876855583
EXP-06B,0.05,0,4,3,3,agent,0.999876855583,1.000000000000,0.999876855583
EXP-06B,0.05,0,3,3,3,human,0.989291661452,1.000000000000,0.989291661452
EXP-06B,0.05,0,4,3,3,human,0.989291661452,1.000000000000,0.989291661452
EXP-06B,0.05,0,3,4,4,agent,1.027523953181,1.000000000000,1.027523953181
EXP-06B,0.05,0,4,4,4,agent,1.027523953181,1.000000000000,1.027523953181
EXP-06B,0.05,0,3,4,4,human,0.979280943515,1.000000000000,0.979280943515
EXP-06B,0.05,0,4,4,4,human,0.979280943515,1.000000000000,0.979280943515
EXP-06B,0.05,0,3,5,5,agent,0.996412627174,1.000000000000,0.996412627174
EXP-06B,0.05,0,4,5,5,agent,0.996412627174,1.000000000000,0.996412627174
EXP-06B,0.05,0,3,5,5,human,1.007118816942,1.000000000000,1.007118816942
EXP-06B,0.05,0,4,5,5,human,1.007118816942,1.000000000000,1.007118816942
EXP-06B,0.05,0,3,7,7,agent,1.040388065984,1.000000000000,1.040388065984
EXP-06B,0.05,0,4,7,7,agent,1.040388065984,1.000000000000,1.040388065984
EXP-06B,0.05,0,3,7,7,human,0.999217817695,1.000000000000,0.999217817695
EXP-06B,0.05,0,4,7,7,human,0.999217817695,1.000000000000,0.999217817695
EXP-06B,0.05,0,3,6,6,agent,0.977178454376,1.000000000000,0.977178454376
EXP-06B,0.05,0,4,6,6a,agent,0.977178454376,1.002891794585,0.980004253738
EXP-06B,0.05,0,4,6,6b,agent,0.977178454376,0.993932066441,0.971249000439
EXP-06B,0.05,0,4,6,6c,agent,0.977178454376,1.010045918366,0.986995109357
EXP-06B,0.05,0,3,6,6,human,1.024649091641,1.000000000000,1.024649091641
EXP-06B,0.05,0,4,6,6a,human,1.024649091641,1.011847220231,1.036788335089
EXP-06B,0.05,0,4,6,6b,human,1.024649091641,1.007596482918,1.032432820962
EXP-06B,0.05,0,4,6,6c,human,1.024649091641,1.009859155746,1.034751266620
EXP-06B,0.05,1,3,1,1,agent,0.962861541199,1.000000000000,0.962861541199
EXP-06B,0.05,1,4,1,1,agent,0.962861541199,1.000000000000,0.962861541199
EXP-06B,0.05,1,3,1,1,human,1.034088957623,1.000000000000,1.034088957623
EXP-06B,0.05,1,4,1,1,human,1.034088957623,1.000000000000,1.034088957623
EXP-06B,0.05,1,3,2,2,agent,1.025466787164,1.000000000000,1.025466787164
EXP-06B,0.05,1,4,2,2,agent,1.025466787164,1.000000000000,1.025466787164
EXP-06B,0.05,1,3,2,2,human,0.974563983788,1.000000000000,0.974563983788
EXP-06B,0.05,1,4,2,2,human,0.974563983788,1.000000000000,0.974563983788
EXP-06B,0.05,1,3,3,3,agent,0.998293021168,1.000000000000,0.998293021168
EXP-06B,0.05,1,4,3,3,agent,0.998293021168,1.000000000000,0.998293021168
EXP-06B,0.05,1,3,3,3,human,0.993713171294,1.000000000000,0.993713171294
EXP-06B,0.05,1,4,3,3,human,0.993713171294,1.000000000000,0.993713171294
EXP-06B,0.05,1,3,4,4,agent,1.014017723582,1.000000000000,1.014017723582
EXP-06B,0.05,1,4,4,4,agent,1.014017723582,1.000000000000,1.014017723582
EXP-06B,0.05,1,3,4,4,human,1.028030531443,1.000000000000,1.028030531443
EXP-06B,0.05,1,4,4,4,human,1.028030531443,1.000000000000,1.028030531443
EXP-06B,0.05,1,3,5,5,agent,0.958966149599,1.000000000000,0.958966149599
EXP-06B,0.05,1,4,5,5,agent,0.958966149599,1.000000000000,0.958966149599
EXP-06B,0.05,1,3,5,5,human,0.952699084812,1.000000000000,0.952699084812
EXP-06B,0.05,1,4,5,5,human,0.952699084812,1.000000000000,0.952699084812
EXP-06B,0.05,1,3,7,7,agent,1.032882015016,1.000000000000,1.032882015016
EXP-06B,0.05,1,4,7,7,agent,1.032882015016,1.000000000000,1.032882015016
EXP-06B,0.05,1,3,7,7,human,0.992051289923,1.000000000000,0.992051289923
EXP-06B,0.05,1,4,7,7,human,0.992051289923,1.000000000000,0.992051289923
EXP-06B,0.05,1,3,6,6,agent,1.025313410971,1.000000000000,1.025313410971
EXP-06B,0.05,1,4,6,6a,agent,1.025313410971,0.998668603212,1.023948311989
EXP-06B,0.05,1,4,6,6b,agent,1.025313410971,1.005419117860,1.030869705189
EXP-06B,0.05,1,4,6,6c,agent,1.025313410971,0.993404975389,1.018551443792
EXP-06B,0.05,1,3,6,6,human,0.950200263153,1.000000000000,0.950200263153
EXP-06B,0.05,1,4,6,6a,human,0.950200263153,1.010921625394,0.960577994477
EXP-06B,0.05,1,4,6,6b,human,0.950200263153,1.009840962698,0.959551148499
EXP-06B,0.05,1,4,6,6c,human,0.950200263153,0.988614020636,0.950000000000
EXP-06B,0.05,2,3,1,1,agent,1.045389895992,1.000000000000,1.045389895992
EXP-06B,0.05,2,4,1,1,agent,1.045389895992,1.000000000000,1.045389895992
EXP-06B,0.05,2,3,1,1,human,1.044531603516,1.000000000000,1.044531603516
EXP-06B,0.05,2,4,1,1,human,1.044531603516,1.000000000000,1.044531603516
EXP-06B,0.05,2,3,2,2,agent,0.955392108531,1.000000000000,0.955392108531
EXP-06B,0.05,2,4,2,2,agent,0.955392108531,1.000000000000,0.955392108531
EXP-06B,0.05,2,3,2,2,human,0.958103938516,1.000000000000,0.958103938516
EXP-06B,0.05,2,4,2,2,human,0.958103938516,1.000000000000,0.958103938516
EXP-06B,0.05,2,3,3,3,agent,1.032854494450,1.000000000000,1.032854494450
EXP-06B,0.05,2,4,3,3,agent,1.032854494450,1.000000000000,1.032854494450
EXP-06B,0.05,2,3,3,3,human,1.022617101951,1.000000000000,1.022617101951
EXP-06B,0.05,2,4,3,3,human,1.022617101951,1.000000000000,1.022617101951
EXP-06B,0.05,2,3,4,4,agent,1.015860097627,1.000000000000,1.015860097627
EXP-06B,0.05,2,4,4,4,agent,1.015860097627,1.000000000000,1.015860097627
EXP-06B,0.05,2,3,4,4,human,0.979753830730,1.000000000000,0.979753830730
EXP-06B,0.05,2,4,4,4,human,0.979753830730,1.000000000000,0.979753830730
EXP-06B,0.05,2,3,5,5,agent,1.009395557117,1.000000000000,1.009395557117
